DATAFLOW,LAST UPDATE,freq,crops,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,AL,2021,0,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BE,2016,32001,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BE,2017,43500,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BE,2018,46188,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BE,2019,46441,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BE,2020,54492,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2013,3548,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2014,7671,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2015,5619,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2016,5943,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2017,16152,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2018,36904,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2019,48219,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2020,41385,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,BG,2021,30458,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2013,1656,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2014,234,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2015,596,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2016,183,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2017,718,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2018,513,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2019,643,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2020,579,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CY,2021,566,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2012,58975,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2013,62210,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2014,63888,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2015,65846,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2016,64898,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2017,70209,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2018,77018,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2019,88216,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2020,98569,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,CZ,2021,112347,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2012,40224,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2013,32720,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2014,37271,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2015,47858,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2016,45867,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2017,60147,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2018,54974,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2019,101267,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2020,98798,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EE,2021,70984,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2013,66130,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2014,101051,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2015,97565,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2016,113685,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2017,113773,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2018,98433,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2019,145750,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,EL,2020,152118,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2012,160721,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2013,181875,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2014,177670,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2015,179616,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2016,163834,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2017,206309,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2018,303064,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2019,332504,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2020,382153,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,ES,2021,336485,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2012,65620,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2013,75700,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2014,78200,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2015,82900,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2016,74600,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2017,90800,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2018,76200,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2019,129000,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FI,2020,159100,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FR,2019,742480,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,FR,2020,692243,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2013,13564,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2014,15375,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2015,31066,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2016,47524,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2017,45292,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2018,52882,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2019,64138,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2020,56881,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HR,2021,63441,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2012,54338,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2013,66888,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2014,66737,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2015,57625,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2016,64297,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2017,69616,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2018,86755,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2019,101473,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2020,100048,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,HU,2021,99523,e
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IE,2015,5111,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IE,2016,4368,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IE,2017,4023,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IE,2018,4426,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IE,2019,5907,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IE,2020,6685,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IE,2021,9501,e
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IT,2012,863298,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IT,2014,443008,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IT,2015,519897,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IT,2016,800385,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IT,2017,988737,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,IT,2020,968425,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,LT,2012,93550,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,LT,2013,99566,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,LT,2014,101408,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,LT,2015,123320,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,LT,2016,121986,
ESTAT:ORG_CROPPRO(1.0),02/12/22 23:00:00,A,C0000,T,LT,2017,172934,
