DATAFLOW,LAST UPDATE,freq,agriprod,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BE,2016,5502,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BE,2017,7321,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BE,2018,8708,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BE,2019,9601,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BE,2020,10364,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2012,0,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2013,0,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2014,0,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2015,0,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2016,373,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2017,212,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2018,969,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2019,187,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,BG,2020,151,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2013,10,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2014,15,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2015,19,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2016,22,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2017,23,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2018,28,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2019,17,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CY,2020,13,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2012,10097,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2013,10329,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2014,6674,r
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2015,6719,r
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2016,6752,r
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2017,6697,r
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2018,7291,r
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2019,7867,r
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,CZ,2020,8197,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2012,14500,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2013,14229,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2015,14305,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2016,16818,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2017,16254,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2018,6643,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2019,17835,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,DK,2020,18224,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2012,1400,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2013,1634,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2014,1804,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2015,2221,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2016,2209,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2017,2878,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2018,3404,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2019,2636,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EE,2020,5024,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2012,814,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2013,521,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2014,610,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2015,874,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2016,675,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2017,801,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2018,839,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2019,977,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,EL,2020,925,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2012,26661,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2013,24250,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2014,24601,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2015,28849,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2016,26487,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2017,26417,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2018,35803,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2019,41265,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,ES,2020,38668,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2012,2260,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2013,2870,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2014,3100,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2015,4150,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2016,4360,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2017,3780,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2018,3710,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2019,3770,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FI,2020,4420,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2012,32763,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2014,41773,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2015,44769,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2016,50175,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2017,55694,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2018,68948,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2019,78808,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,FR,2020,85092,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2012,5,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2013,9,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2014,109,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2015,1225,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2016,1774,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2017,1725,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2018,2311,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2019,2602,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HR,2020,2835,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2012,906,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2013,894,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2014,982,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2015,888,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2016,1376,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2017,1123,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2018,1110,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2019,1812,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,HU,2020,1621,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2013,943,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2014,1139,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2015,1337,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2016,1555,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2017,1550,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2018,2361,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2019,2338,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IE,2020,2227,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IS,2018,23,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IS,2019,29,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IS,2020,11,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IT,2014,73555,
ESTAT:ORG_APROD(1.0),02/12/22 23:00:00,A,B0010,T,IT,2015,54927,
